Name,Mean (ps),2*Stdev (ps)
"All.p=2,f=1,n=2 (beta=1).K(Z/2^1,2) R=50",79806640,6911284
"All.p=2,f=1,n=2 (beta=1).K(Z/2^1,2) R=100",328354687,28390202
"All.p=2,f=1,n=2 (beta=1).K(Z/2^1,2) R=200",1398999218,122693748
"All.p=2,f=1,n=2 (beta=1).K(Z/2^1,2) R=400",5404328125,485156872
"All.p=2,f=1,n=2 (beta=1).K(Z/2^1,2) R=800",21233412500,1401930768
"All.p=3,f=1,n=2 (beta=1).K(Z/3^1,2) R=50",1005583,57106
"All.p=3,f=1,n=2 (beta=1).K(Z/3^1,2) R=100",2090840,117374
"All.p=3,f=1,n=2 (beta=1).K(Z/3^1,2) R=200",4133172,225038
"All.p=3,f=1,n=2 (beta=1).K(Z/3^1,2) R=400",8488220,509406
"All.p=3,f=1,n=2 (beta=1).K(Z/3^1,2) R=800",17586456,891752
"All.p=5,f=1,n=2 (beta=1).K(Z/5^1,2) R=50",711811,52152
"All.p=5,f=1,n=2 (beta=1).K(Z/5^1,2) R=100",1356697,111820
"All.p=5,f=1,n=2 (beta=1).K(Z/5^1,2) R=200",2807388,218604
"All.p=5,f=1,n=2 (beta=1).K(Z/5^1,2) R=400",5738272,470086
"All.p=5,f=1,n=2 (beta=1).K(Z/5^1,2) R=800",12068695,1069584
"All.p=7,f=1,n=2 (beta=1).K(Z/7^1,2) R=50",672456,61320
"All.p=7,f=1,n=2 (beta=1).K(Z/7^1,2) R=100",1242987,55908
"All.p=7,f=1,n=2 (beta=1).K(Z/7^1,2) R=200",2543563,219354
"All.p=7,f=1,n=2 (beta=1).K(Z/7^1,2) R=400",5230947,511440
"All.p=7,f=1,n=2 (beta=1).K(Z/7^1,2) R=800",10951867,819200
"All.p=3,f=1,n=3 (beta=1).K(Z/3^1,3) R=50",47991259,3735586
"All.p=3,f=1,n=3 (beta=1).K(Z/3^1,3) R=100",257713378,19133230
"All.p=3,f=1,n=3 (beta=1).K(Z/3^1,3) R=200",1174475000,52876018
"All.p=3,f=1,n=3 (beta=1).K(Z/3^1,3) R=400",4959418750,439694816
"All.p=3,f=1,n=3 (beta=1).K(Z/3^1,3) R=800",18952250000,1815966706
"All.p=2,f=2,n=2 (beta=1).K(Z/2^2,2) R=50",85371191,6595526
"All.p=2,f=2,n=2 (beta=1).K(Z/2^2,2) R=100",351484570,31787102
"All.p=2,f=2,n=2 (beta=1).K(Z/2^2,2) R=200",1545803125,134125646
"All.p=2,f=2,n=2 (beta=1).K(Z/2^2,2) R=400",5874525000,478784080
"All.p=2,f=2,n=2 (beta=1).K(Z/2^2,2) R=800",23108762500,1701535926
"All.p=2,f=3,n=2 (beta=1).K(Z/2^3,2) R=50",86155419,6745106
"All.p=2,f=3,n=2 (beta=1).K(Z/2^3,2) R=100",353536132,30003490
"All.p=2,f=3,n=2 (beta=1).K(Z/2^3,2) R=200",1521481250,127078538
"All.p=2,f=3,n=2 (beta=1).K(Z/2^3,2) R=400",5853275000,459875330
"All.p=2,f=3,n=2 (beta=1).K(Z/2^3,2) R=800",23219662500,2100450454
"All.p=3,f=2,n=2 (beta=1).K(Z/3^2,2) R=50",1013714,56070
"All.p=3,f=2,n=2 (beta=1).K(Z/3^2,2) R=100",2092073,113826
"All.p=3,f=2,n=2 (beta=1).K(Z/3^2,2) R=200",4164767,211104
"All.p=3,f=2,n=2 (beta=1).K(Z/3^2,2) R=400",8463952,470114
"All.p=3,f=2,n=2 (beta=1).K(Z/3^2,2) R=800",17757739,1010188
"All.p=2,f=1,n=3 (beta=2).K(Z/2^1,3) R=20",25092285,1826358
"All.p=2,f=1,n=3 (beta=2).K(Z/2^1,3) R=40",133500585,7514192
"All.p=2,f=1,n=3 (beta=2).K(Z/2^1,3) R=80",643827343,57283518
"All.p=2,f=1,n=3 (beta=2).K(Z/2^1,3) R=160",3335098437,276091504
"All.p=2,f=1,n=4 (beta=2).K(Z/2^1,4) R=10",4118218,290200
"All.p=2,f=1,n=4 (beta=2).K(Z/2^1,4) R=20",37180126,3418410
"All.p=2,f=1,n=4 (beta=2).K(Z/2^1,4) R=40",255723242,13875848
"All.p=2,f=1,n=4 (beta=2).K(Z/2^1,4) R=80",1711840625,136410628
"All.p=3,f=1,n=4 (beta=2).K(Z/3^1,4) R=20",7231848,517650
"All.p=3,f=1,n=4 (beta=2).K(Z/3^1,4) R=40",35921972,3429218
"All.p=3,f=1,n=4 (beta=2).K(Z/3^1,4) R=80",158902734,15122718
"All.p=3,f=1,n=4 (beta=2).K(Z/3^1,4) R=160",820605859,78817902
"All.p=2,f=2,n=3 (beta=2).K(Z/2^2,3) R=20",27116821,1695612
"All.p=2,f=2,n=3 (beta=2).K(Z/2^2,3) R=40",152174121,14209512
"All.p=2,f=2,n=3 (beta=2).K(Z/2^2,3) R=80",773180859,61734692
"All.p=2,f=2,n=3 (beta=2).K(Z/2^2,3) R=160",3904398437,213125228
"All.p=2,f=1,n=5 (beta=3).K(Z/2^1,5) R=10",3699165,207958
"All.p=2,f=1,n=5 (beta=3).K(Z/2^1,5) R=20",43109765,4133996
"All.p=2,f=1,n=5 (beta=3).K(Z/2^1,5) R=40",341688867,28155240
"All.p=2,f=1,n=5 (beta=3).K(Z/2^1,5) R=80",2779133593,239458422
"All.p=2,f=1,n=7 (beta=4).K(Z/2^1,7) R=10",1893408,109598
"All.p=2,f=1,n=7 (beta=4).K(Z/2^1,7) R=20",44515698,3494510
"All.p=2,f=1,n=7 (beta=4).K(Z/2^1,7) R=40",526876562,33120882
"All.K(Z,2).K(Z,2) R=50",3926095,231350
"All.K(Z,2).K(Z,2) R=100",7836380,442804
"All.K(Z,2).K(Z,2) R=200",15984112,839916
"All.K(Z,2).K(Z,2) R=400",33068249,2197470
"All.K(Z,2).K(Z,2) R=800",66810791,3765720
"All.K(Z,3).K(Z,3) R=20",12240936,1055936
"All.K(Z,3).K(Z,3) R=40",51002124,3534362
"All.K(Z,3).K(Z,3) R=80",214677441,14430062
"All.K(Z,3).K(Z,3) R=160",916005859,59081108
"All.K(Z,4).K(Z,4) R=10",2711093,252888
"All.K(Z,4).K(Z,4) R=20",13562652,888202
"All.K(Z,4).K(Z,4) R=40",66835522,4190334
"All.K(Z,4).K(Z,4) R=80",337580859,29556276
